section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-099_1_E3_RE_SEC-03_local,1,1.0,2.0,131.0,130.5,129.1
MU-099_1_E3_RE_SEC-03_local,2,2.0,2.0,129.8,123.5,123.3
MU-099_1_E3_RE_SEC-03_local,3,3.0,2.0,125.9,123.5,119.9
MU-099_1_E3_RE_SEC-03_local,4,4.0,2.0,126.7,133.6,135.9
MU-099_1_E3_RE_SEC-03_local,5,5.0,2.0,129.0,90.6,90.5
MU-099_1_E3_RE_SEC-03_local,6,6.0,2.0,118.1,48.0,48.1
MU-099_1_E3_RE_SEC-03_local,7,7.0,2.0,109.1,37.1,42.9
MU-099_1_E3_RE_SEC-03_local,8,8.0,2.0,98.2,14.3,9.6
MU-099_1_E3_RE_SEC-03_local,9,9.0,2.0,86.4,5.8,6.1
MU-099_1_E3_RE_SEC-03_local,10,10.0,2.0,76.8,4.9,4.9
MU-099_1_E3_RE_SEC-03_local,11,11.0,2.0,69.0,3.1,3.9
