section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-066_1_E3_RE_SEC-03_local,1,1.0,2.0,113.3,101.6,97.3
MU-066_1_E3_RE_SEC-03_local,2,2.0,2.0,100.7,81.7,80.2
MU-066_1_E3_RE_SEC-03_local,3,3.0,2.0,92.0,75.3,71.0
MU-066_1_E3_RE_SEC-03_local,4,4.0,2.0,88.0,75.3,76.4
MU-066_1_E3_RE_SEC-03_local,5,5.0,2.0,85.2,89.5,84.3
MU-066_1_E3_RE_SEC-03_local,6,6.0,2.0,89.2,77.9,84.4
MU-066_1_E3_RE_SEC-03_local,7,7.0,2.0,85.0,14.3,14.2
MU-066_1_E3_RE_SEC-03_local,8,8.0,2.0,77.3,40.6,41.9
MU-066_1_E3_RE_SEC-03_local,9,9.0,2.0,75.0,74.6,74.0
MU-066_1_E3_RE_SEC-03_local,10,10.0,2.0,76.7,30.0,22.6
MU-066_1_E3_RE_SEC-03_local,11,11.0,2.0,68.2,11.6,8.2
MU-066_1_E3_RE_SEC-03_local,12,12.0,2.0,61.8,2.1,4.3
MU-066_1_E3_RE_SEC-03_local,13,13.0,2.0,57.4,9.9,1.7
MU-066_1_E3_RE_SEC-03_local,14,14.0,2.0,51.6,28.4,31.0
