section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-001_1_E3_RE_SEC-02_local,1,1.0,2.0,93.3,86.0,83.3
R-001_1_E3_RE_SEC-02_local,2,2.0,2.0,85.1,83.8,87.0
R-001_1_E3_RE_SEC-02_local,3,3.0,2.0,87.0,87.8,87.8
R-001_1_E3_RE_SEC-02_local,4,4.0,2.0,86.5,75.3,78.1
R-001_1_E3_RE_SEC-02_local,5,5.0,2.0,82.2,49.6,49.2
R-001_1_E3_RE_SEC-02_local,6,6.0,2.0,74.5,32.0,31.5
R-001_1_E3_RE_SEC-02_local,7,7.0,2.0,68.0,26.6,25.4
R-001_1_E3_RE_SEC-02_local,8,8.0,2.0,62.5,22.7,23.2
R-001_1_E3_RE_SEC-02_local,9,9.0,2.0,58.0,22.5,22.2
R-001_1_E3_RE_SEC-02_local,10,10.0,2.0,54.2,23.0,22.4
R-001_1_E3_RE_SEC-02_local,11,11.0,2.0,51.3,24.4,25.2
