section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-085_1_E2_RE_SEC-01_local,1,1.0,2.0,99.6,95.7,90.3
BU-085_1_E2_RE_SEC-01_local,2,2.0,2.0,95.0,84.3,82.5
BU-085_1_E2_RE_SEC-01_local,3,3.0,2.0,89.4,76.6,74.8
BU-085_1_E2_RE_SEC-01_local,4,4.0,2.0,85.7,69.9,72.1
BU-085_1_E2_RE_SEC-01_local,5,5.0,2.0,81.5,53.8,52.3
BU-085_1_E2_RE_SEC-01_local,6,6.0,2.0,75.4,41.5,45.1
BU-085_1_E2_RE_SEC-01_local,7,7.0,2.0,70.6,27.5,25.2
BU-085_1_E2_RE_SEC-01_local,8,8.0,2.0,63.8,15.6,16.1
BU-085_1_E2_RE_SEC-01_local,9,9.0,2.0,58.3,14.5,14.2
BU-085_1_E2_RE_SEC-01_local,10,10.0,2.0,53.7,6.8,8.2
BU-085_1_E2_RE_SEC-01_local,11,11.0,2.0,48.7,6.5,2.1
