section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-010_1_E2_RE_SEC-02_local,1,1.0,2.0,95.1,82.3,80.9
R-010_1_E2_RE_SEC-02_local,2,2.0,2.0,81.1,65.0,63.3
R-010_1_E2_RE_SEC-02_local,3,3.0,2.0,74.7,64.0,63.3
R-010_1_E2_RE_SEC-02_local,4,4.0,2.0,72.3,67.5,67.9
R-010_1_E2_RE_SEC-02_local,5,5.0,2.0,71.7,64.9,69.1
R-010_1_E2_RE_SEC-02_local,6,6.0,2.0,69.8,37.3,28.0
R-010_1_E2_RE_SEC-02_local,7,7.0,2.0,62.7,18.8,160.6
R-010_1_E2_RE_SEC-02_local,8,8.0,2.0,57.2,19.6,19.4
R-010_1_E2_RE_SEC-02_local,9,9.0,2.0,52.9,20.8,20.3
R-010_1_E2_RE_SEC-02_local,10,10.0,2.0,49.5,21.3,22.4
R-010_1_E2_RE_SEC-02_local,11,11.0,2.0,46.8,12.2,12.9
