section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-089_1_E2_RE_SEC-06_local,1,1.0,2.0,132.2,123.8,115.8
MU-089_1_E2_RE_SEC-06_local,2,2.0,2.0,123.3,98.5,103.1
MU-089_1_E2_RE_SEC-06_local,3,3.0,2.0,108.9,82.8,79.4
MU-089_1_E2_RE_SEC-06_local,4,4.0,2.0,102.4,86.7,88.7
MU-089_1_E2_RE_SEC-06_local,5,5.0,2.0,99.7,82.0,80.0
MU-089_1_E2_RE_SEC-06_local,6,6.0,2.0,95.4,74.9,75.1
MU-089_1_E2_RE_SEC-06_local,7,7.0,2.0,92.4,72.4,71.0
MU-089_1_E2_RE_SEC-06_local,8,8.0,2.0,89.4,83.9,85.2
MU-089_1_E2_RE_SEC-06_local,9,9.0,2.0,90.4,82.8,80.4
MU-089_1_E2_RE_SEC-06_local,10,10.0,2.0,88.1,74.9,74.8
MU-089_1_E2_RE_SEC-06_local,11,11.0,2.0,87.6,81.8,81.3
