section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-170_1_E2_RE_SEC-10_local,1,1.0,2.0,111.3,106.0,104.3
BU-170_1_E2_RE_SEC-10_local,2,2.0,2.0,105.4,99.1,96.5
BU-170_1_E2_RE_SEC-10_local,3,3.0,2.0,103.0,109.8,108.4
BU-170_1_E2_RE_SEC-10_local,4,4.0,2.0,107.5,124.8,127.5
BU-170_1_E2_RE_SEC-10_local,5,5.0,2.0,111.5,110.7,110.9
BU-170_1_E2_RE_SEC-10_local,6,6.0,2.0,108.5,93.1,89.6
BU-170_1_E2_RE_SEC-10_local,7,7.0,2.0,106.2,89.2,95.9
BU-170_1_E2_RE_SEC-10_local,8,8.0,2.0,103.6,70.7,68.7
BU-170_1_E2_RE_SEC-10_local,9,9.0,2.0,98.7,52.3,46.8
BU-170_1_E2_RE_SEC-10_local,10,10.0,2.0,93.5,51.5,53.8
BU-170_1_E2_RE_SEC-10_local,11,11.0,2.0,89.9,45.8,48.1
BU-170_1_E2_RE_SEC-10_local,12,12.0,2.0,85.8,22.0,11.3
