section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-007_1_E2_RE_SEC-04_local,1,1.0,2.0,138.5,116.7,117.4
R-007_1_E2_RE_SEC-04_local,2,2.0,2.0,116.4,90.3,85.2
R-007_1_E2_RE_SEC-04_local,3,3.0,2.0,106.2,93.4,91.8
R-007_1_E2_RE_SEC-04_local,4,4.0,2.0,104.3,97.3,102.9
R-007_1_E2_RE_SEC-04_local,5,5.0,2.0,102.5,87.1,84.3
R-007_1_E2_RE_SEC-04_local,6,6.0,2.0,98.6,76.8,73.6
R-007_1_E2_RE_SEC-04_local,7,7.0,2.0,95.0,80.1,80.8
R-007_1_E2_RE_SEC-04_local,8,8.0,2.0,93.7,87.2,85.4
R-007_1_E2_RE_SEC-04_local,9,9.0,2.0,93.1,82.7,86.0
R-007_1_E2_RE_SEC-04_local,10,10.0,2.0,91.4,79.8,79.9
R-007_1_E2_RE_SEC-04_local,11,11.0,2.0,90.6,76.3,74.8
