section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
MU-029_1_E3_RE_SEC-01_local,1,1.0,2.0,113.3,94.5,92.8
MU-029_1_E3_RE_SEC-01_local,2,2.0,2.0,93.5,75.0,76.3
MU-029_1_E3_RE_SEC-01_local,3,3.0,2.0,86.4,69.9,69.9
MU-029_1_E3_RE_SEC-01_local,4,4.0,2.0,81.2,54.6,56.3
MU-029_1_E3_RE_SEC-01_local,5,5.0,2.0,73.3,43.1,45.5
MU-029_1_E3_RE_SEC-01_local,6,6.0,2.0,68.2,48.0,45.8
MU-029_1_E3_RE_SEC-01_local,7,7.0,2.0,65.9,51.8,55.2
MU-029_1_E3_RE_SEC-01_local,8,8.0,2.0,63.9,37.1,34.4
MU-029_1_E3_RE_SEC-01_local,9,9.0,2.0,59.3,21.5,20.8
MU-029_1_E3_RE_SEC-01_local,10,10.0,2.0,55.3,18.9,18.3
MU-029_1_E3_RE_SEC-01_local,11,11.0,2.0,51.6,18.2,19.6
