section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
R-018_1_E1_RE_SEC-08_local,1,1.0,2.0,152.1,130.5,131.8
R-018_1_E1_RE_SEC-08_local,2,2.0,2.0,130.1,79.2,70.7
R-018_1_E1_RE_SEC-08_local,3,3.0,2.0,104.2,49.7,48.5
R-018_1_E1_RE_SEC-08_local,4,4.0,2.0,87.4,44.3,44.8
R-018_1_E1_RE_SEC-08_local,5,5.0,2.0,77.6,50.8,52.1
R-018_1_E1_RE_SEC-08_local,6,6.0,2.0,73.4,51.5,50.8
R-018_1_E1_RE_SEC-08_local,7,7.0,2.0,69.1,42.0,45.4
R-018_1_E1_RE_SEC-08_local,8,8.0,2.0,64.9,38.0,35.2
R-018_1_E1_RE_SEC-08_local,9,9.0,2.0,61.8,36.4,37.8
R-018_1_E1_RE_SEC-08_local,10,10.0,2.0,58.8,34.5,34.4
R-018_1_E1_RE_SEC-08_local,11,11.0,2.0,56.5,31.5,30.7
